P. Name,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Max (K),P. Mag,P. Appar Size (deg),P. Eccentricity,P. Mean Distance (AU),P. Omega (deg),S. Mass (SU),S. Teff (K),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Habitable Class
GJ 163 c,Warm,Superterran,rocky-iron,metals-rich,1.19,2.17,1.99,0.5515569,0.6630019,0.804139,241.3,-18.05,3.48,0.09,0.12,235.4,0.4,3840.0,-0.06027140851661208,3.0,11.8,15.0,4.1544,-53.3736,-26.3,0.9881,3,1,0.212,-0.34,-0.14,0.81,0.53,0.08,0.73,0,1,0,1,psychroplanet
GJ 667 C e,Warm,Terran,rocky-iron,metals-rich,0.99,1.39,1.39,0.290249,0.3020295,0.3144201,190.8,-16.59,2.65,0.02,0.21,28.6,0.33,3350.0,-0.55,2.0,10.2,6.8,17.3158,-34.9897,-25.4,0.8714,6,3,0.251,0.51,-0.16,0.23,0.63,0.0,0.6,0,1,0,0,psychroplanet
GJ 667 C f,Warm,Terran,rocky-iron,metals-rich,0.99,1.39,1.39,0.5306531,0.5632069000000001,0.5983137,224.1,-17.28,2.65,0.03,0.16,103.0,0.33,3350.0,-0.55,2.0,10.2,6.8,17.3158,-34.9897,-26.1,1.19,6,3,0.251,-0.22,-0.16,0.08,0.78,0.0,0.77,0,1,0,0,psychroplanet
GJ 682 c,Warm,Superterran,rocky-iron,hydrogen-rich,1.24,2.37,2.13,0.3020603,0.3673006,0.45118450000000004,208.8,-17.51,3.64,0.1,0.18,320.9,0.27,3028.0,-0.06027140851661208,4.184758828596038,13.4,5.08,17.6177,-43.6808,-25.6,1.1831,2,1,0.232,0.23,-0.14,1.19,0.45,0.0,0.59,0,1,0,0,psychroplanet
GJ 3293 d,Warm,Superterran,rocky-iron,metals-rich,1.2,2.22,2.03,0.44768679999999994,0.5656049,0.7251003,235.1,-17.91,3.52,0.12,0.19,322.0,0.42,3466.0,0.02,4.184758828596038,12.0,17.9,4.4767,-25.1692,-26.1,1.1179,4,2,0.309,-0.21,-0.14,0.91,0.52,0.0,0.7,0,1,0,1,psychroplanet
HD 40307 g,Warm,Superterran,rocky-iron,metals-rich,1.18,2.15,1.98,0.3895282,0.6771687,1.285592,271.3,-18.1,3.45,0.29,0.57,91.2,0.77,4977.0,-0.31,1.2,7.2,12.8,5.9011,-60.0233,-26.4,0.6042,6,1,0.917,-0.15,-0.14,0.77,0.56,0.04,0.74,1,1,0,0,psychroplanet
Kapteyn b,Warm,Terran,rocky-iron,metals-rich,1.09,1.79,1.71,0.2900587,0.4342851,0.6803408000000001,231.4,-17.37,3.11,0.21,0.16,80.4,0.28,3550.0,-0.86,8.0,8.8,3.91,5.1947,-45.0183,-25.8,0.9409,2,1,0.232,0.12,-0.15,0.57,0.63,0.0,0.67,0,1,0,0,psychroplanet
Kepler-62 f,Warm,Terran,rocky-iron,metals-rich,1.0,1.41,1.41,0.388223,0.388223,0.388223,201.1,-16.89,2.68,0.0,0.72,0.0,0.69,4869.0,-0.21,7.0,14.0,368.0,18.8808,45.3499,-25.7,0.4676,5,2,0.857,0.45,-0.16,0.19,0.66,0.0,0.67,0,1,0,1,psychroplanet
Kepler-150 f,Warm,Superterran,gas,metals-rich,0.19,0.68,1.57,0.4927213,0.4927213,0.4927214,213.4,-19.22,6.92,0.0,1.24,0.0,0.63,5560.0,-0.136,4.184758828596038,13.4,973.0,19.2156,40.5209,-26.0,0.404,5,1,1.569,0.28,2.88,0.35,0.26,0.0,0.53,0,0,0,1,psychroplanet
Kepler-174 d,Warm,Superterran,rocky-iron,hydrogen-rich,1.42,3.1,2.6,0.42675159999999995,0.42675159999999995,0.42675169999999996,205.9,-17.95,4.15,0.0,0.68,0.0,0.68,4880.0,-0.556,4.184758828596038,13.4,360.0,19.1626,43.8321,-25.8,0.488,3,1,0.846,0.32,-0.13,1.77,0.36,0.0,0.61,0,1,0,1,psychroplanet
Kepler-296 f,Warm,Superterran,rocky-iron,metals-rich,1.15,2.01,1.87,0.2687829,0.3395788,0.4353369000000001,206.9,-17.22,3.33,0.12,0.28,0.0,0.45,3572.0,-0.12,4.2,10.1,226.0,19.1027,49.4373,-25.6,0.8155,5,2,0.34700000000000003,0.4,-0.14,0.86,0.51,0.0,0.6,0,1,0,1,psychroplanet
Kepler-442 b,Warm,Terran,rocky-iron,metals-rich,0.97,1.3,1.32,0.6466799,0.6999820999999999,0.7589214,237.8,-17.42,2.55,0.04,0.41,0.0,0.61,4402.0,-0.37,2.9,7.7,342.0,19.0244,39.2801,-26.3,0.7685,1,1,0.6809999999999999,-0.34,-0.16,-0.06,0.73,0.04,0.84,0,1,0,1,psychroplanet
Kepler-1229 b,Warm,Terran,rocky-iron,metals-rich,0.99,1.39,1.4,0.4901548,0.4901549,0.4901549,213.2,-17.13,2.66,0.0,0.31,0.0,0.54,3784.0,-0.06027140851661208,3.72,15.5,236.0,19.8324,46.9967,-26.0,0.8699,1,1,0.456,-0.03,-0.16,0.12,0.83,0.0,0.73,0,1,0,1,psychroplanet
Kepler-1652 b,Warm,Terran,rocky-iron,metals-rich,0.9,1.01,1.06,0.6504719,0.650472,0.6504722,228.8,-16.95,2.13,0.0,0.16,0.0,0.36,3482.0,-0.1,4.184758828596038,13.4,252.0,19.6244,49.9151,-26.3,1.1835,1,1,0.27,-0.35,-0.17,-0.37,0.65,0.0,0.85,0,1,0,1,psychroplanet
LHS 1140 b,Warm,Terran,rocky-iron,hydrogen-rich,2.26,3.23,2.15,0.23418049999999999,0.4071072,0.7728854000000001,238.9,-17.03,2.72,0.29,0.08,0.0,0.15,3131.0,-0.24,5.0,14.2,12.47,0.7497,-15.2714,-25.8,1.1837,1,1,0.118,0.18,-0.82,1.17,0.41,0.0,0.68,0,1,0,1,psychroplanet
Proxima Cen b,Warm,Terran,rocky-iron,metals-rich,0.9,1.01,1.07,0.6562118,0.6562118,0.6562119000000001,229.3,-16.96,2.13,0.0,0.05,0.0,0.12,3050.0,-0.06027140851661208,4.184758828596038,11.1,1.29,14.4953,-62.6794,-26.3,1.5493,1,1,0.086,-0.39,-0.17,-0.37,0.64,0.0,0.85,0,1,0,1,psychroplanet
TRAPPIST-1 e,Warm,Terran,rocky-iron,metals-rich,0.82,0.76,0.83,0.6544079,0.654408,0.6544082,229.1,-16.52,1.74,0.0,0.03,0.0,0.08,2550.0,0.04,0.5,18.8,12.1,23.1081,-5.0414,-26.3,2.2135,7,4,0.051,-0.42,-0.15,-0.67,0.56,0.0,0.85,0,1,0,1,psychroplanet
TRAPPIST-1 f,Warm,Terran,rocky-water,metals-rich,0.59,0.61,0.8,0.3772893,0.3772893,0.3772893,199.7,-16.2,1.98,0.0,0.04,0.0,0.08,2550.0,0.04,0.5,18.8,12.1,23.1081,-5.0414,-25.7,1.6807,7,4,0.051,0.14,0.27,-0.64,0.59,0.0,0.68,0,1,0,1,psychroplanet
Kepler-440 b,Warm,Superterran,rocky-iron,metals-rich,1.2,2.24,2.04,0.7514458,1.43441,3.096766,338.0,-18.99,3.54,0.34,0.23,0.0,0.57,4134.0,-0.3,1.3,8.3,261.0,19.0233,41.4522,-27.2,1.2857,1,1,0.5710000000000001,-0.89,-0.14,0.62,0.48,0.16,0.75,0,1,0,1,mesoplanet
GJ 180 b,Warm,Superterran,rocky-iron,metals-rich,1.22,2.32,2.09,0.9960187,1.234564,1.549138,284.2,-18.8,3.6,0.11,0.1,11.5,0.43,3371.0,-0.06027140851661208,4.184758828596038,10.9,11.69,4.8972,-17.7734,-27.0,1.745,2,2,0.244,-0.87,-0.14,0.74,0.46,0.41,0.75,0,1,0,0,mesoplanet
GJ 3323 b,Warm,Terran,rocky-iron,metals-rich,0.95,1.23,1.25,0.776563,1.207001,1.981179,302.3,-17.95,2.44,0.23,0.03,0.0,0.16,3159.0,-0.27,4.184758828596038,12.2,5.32,5.0326,-6.9461,-27.0,1.9856,2,1,0.077,-0.84,-0.16,-0.25,0.53,0.97,0.89,0,1,0,1,mesoplanet
Kepler-298 d,Warm,Superterran,rocky-iron,hydrogen-rich,1.72,4.3,3.28,1.289531,1.289531,1.289532,271.5,-19.45,4.75,0.0,0.3,0.0,0.65,4465.0,-0.121,4.184758828596038,13.4,474.0,18.8693,48.8254,-27.0,1.0134,3,1,0.6859999999999999,-0.86,-0.11,2.11,0.3,0.0,0.68,0,1,0,1,mesoplanet
Kepler-22 b,Warm,Superterran,rocky-iron,hydrogen-rich,1.57,3.68,2.94,1.1060290000000002,1.1060290000000002,1.1060290000000002,261.3,-19.15,4.47,0.0,0.85,0.0,0.97,5518.0,-0.29,9.9,12.0,190.0,19.2811,47.8844,-26.8,0.6145,1,1,1.615,-0.64,-0.12,1.79,0.34,0.53,0.71,0,1,0,1,mesoplanet
K2-18 b,Warm,Superterran,rocky-iron,hydrogen-rich,1.46,3.28,2.71,0.9243239999999999,0.9243239999999999,0.9243242,249.8,-18.85,4.26,0.0,0.15,0.0,0.41,3503.0,0.09,4.184758828596038,13.5,34.0,11.504,7.5884,-26.6,1.394,2,1,0.304,-0.66,-0.12,1.59,0.37,1.0,0.73,0,1,0,1,mesoplanet
Kepler-283 c,Warm,Superterran,rocky-iron,metals-rich,1.18,2.14,1.97,0.898436,0.8984360999999998,0.8984360999999998,248.0,-18.36,3.45,0.0,0.34,0.0,0.62,4351.0,-0.26,4.184758828596038,13.4,534.0,19.5742,47.839,-26.6,0.8908,2,1,0.6459999999999999,-0.58,-0.14,0.69,0.52,0.85,0.79,0,1,0,1,mesoplanet
